"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL2431493";"";"None";"340.45";"0";"3.70";"47";"CCCCNC(=O)C1=C(Nc2ccc3ccccc3c2)SCC1=O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2434280";"Inhibition of Plasmodium falciparum DHODH (Phe158 to Ser569) expressed in Escherichia coli BL21 using dihydroorotate as substrate measured every 30 secs for 6 mins by DCIP dye-based assay";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2429811";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"50.0"
"CHEMBL973";"TERIFLUNOMIDE";"4.0";"270.21";"0";"3.00";"2, A-771726";"C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1";"IC50";"'='";"11390.0";"nM";"4.94";"";"";"UO_0000065";"18.29";"0.36";"1.94";"6.76";"0";"CHEMBL2187568";"Inhibition of Plasmodium falciparum DHODH expressed in Escherichia coli BL21 (DE3) using L-dihydroorotate as substrate after 10 mins by DCIP dye reduction assay";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2177103";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"11.39"
"CHEMBL3694244";"";"None";"333.36";"0";"3.57";"BDBM120353";"Cc1nc2cc(F)c(F)cc2n1-c1ccc(C(=O)NC2CC2)s1";"IC50";"'='";"105.0";"nM";"6.98";"";"248370";"UO_0000065";"20.93";"0.41";"3.41";"14.87";"0";"CHEMBL3706206";"Enzymatic Assays: Type 2 DHODH activity was monitored with either the direct assay measuring the formation of orotate or via a chromogen reduction assay using DCIP. Although the extinction coefficient and absorption wavelength are preferable for the chromogen reduction assay, the inorganic electron acceptor DCIP can be utilized by DHODH as the final electron acceptor in lieu of CoQn when the endogenous substrate is at a low concentration. As such, the direct assay was used to measure the binding affinity of pfDHODH to CoQD and L-DHO. The enzymatic reaction was performed by varying the L-DHO concentration (1-400 μM) or CoQD concentration (1-200 μM) while keeping the other substrate constant and in excess. Inhibition of DHODH by small molecules was evaluated using the chromogen based assay with a final substrate concentration of 200 μM L-DHO, 18 μM CoQD, and 100 μM DCIP, unless otherwise noted.";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3639068";"37";"BindingDB Patent Bioactivity Data";"";"2014";"None";"";"";"";"105.0"
"CHEMBL3410576";"";"None";"282.37";"0";"4.55";"12";"CC(=O)c1sc(Nc2ccc3ccccc3c2)nc1C";"IC50";"'='";"871.0";"nM";"6.06";"";"";"UO_0000065";"21.46";"0.41";"1.51";"14.43";"0";"CHEMBL3413104";"Inhibition of Plasmodium falciparum DHODH using dihydroorotate substrate by DCIP assay";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3407421";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"0.871"
"CHEMBL3410579";"";"None";"294.35";"0";"3.82";"16";"CCOC(=O)c1sc(Nc2ccc(C)c(F)c2)nc1C";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3413104";"Inhibition of Plasmodium falciparum DHODH using dihydroorotate substrate by DCIP assay";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3407421";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"10.0"
"CHEMBL3410592";"";"None";"336.43";"0";"4.81";"29";"CCOC(=O)c1sc(Nc2ccc(C)c(F)c2)nc1C(C)(C)C";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3413104";"Inhibition of Plasmodium falciparum DHODH using dihydroorotate substrate by DCIP assay";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3407421";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"10.0"
"CHEMBL3410594";"";"None";"352.46";"1";"5.35";"31";"CCOC(=O)c1sc(Nc2ccc(C)c(C)c2)nc1-c1ccccc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3413104";"Inhibition of Plasmodium falciparum DHODH using dihydroorotate substrate by DCIP assay";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3407421";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"10.0"
"CHEMBL3410619";"";"None";"517.41";"2";"7.76";"56";"CCOC(=O)c1sc(Nc2ccc(OCc3c(F)cccc3Cl)c(Cl)c2)nc1-c1ccccc1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3413104";"Inhibition of Plasmodium falciparum DHODH using dihydroorotate substrate by DCIP assay";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL3407421";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"10.0"
"CHEMBL2431500";"";"None";"287.32";"0";"1.96";"54";"CCOC(=O)C1=C(Nc2ccc3c(c2)CCC3)OCC1=O";"IC50";"'='";"65.0";"nM";"7.19";"";"";"UO_0000065";"25.01";"0.47";"5.23";"11.12";"0";"CHEMBL2434280";"Inhibition of Plasmodium falciparum DHODH (Phe158 to Ser569) expressed in Escherichia coli BL21 using dihydroorotate as substrate measured every 30 secs for 6 mins by DCIP dye-based assay";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2429811";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"0.065"
"CHEMBL2431523";"";"None";"305.40";"0";"3.20";"33";"CCCOC(=O)C1=C(Nc2ccc(C)c(C)c2)SCC1=O";"IC50";"'='";"4032.0";"nM";"5.39";"";"";"UO_0000065";"17.66";"0.35";"2.19";"9.74";"0";"CHEMBL2434280";"Inhibition of Plasmodium falciparum DHODH (Phe158 to Ser569) expressed in Escherichia coli BL21 using dihydroorotate as substrate measured every 30 secs for 6 mins by DCIP dye-based assay";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2429811";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"4.032"
"CHEMBL2431518";"";"None";"380.47";"0";"4.32";"28";"CCOC(=O)C1=C(Nc2ccc3c(c2)c2ccccc2n3CC)SCC1=O";"IC50";"'='";"392.0";"nM";"6.41";"";"";"UO_0000065";"16.84";"0.32";"2.09";"10.62";"0";"CHEMBL2434280";"Inhibition of Plasmodium falciparum DHODH (Phe158 to Ser569) expressed in Escherichia coli BL21 using dihydroorotate as substrate measured every 30 secs for 6 mins by DCIP dye-based assay";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2429811";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"0.392"
"CHEMBL2431512";"";"None";"356.24";"0";"3.26";"22";"CCOC(=O)C1=C(Nc2ccc(Br)cc2C)SCC1=O";"IC50";"'>'";"50000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2434280";"Inhibition of Plasmodium falciparum DHODH (Phe158 to Ser569) expressed in Escherichia coli BL21 using dihydroorotate as substrate measured every 30 secs for 6 mins by DCIP dye-based assay";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2429811";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"50.0"
"CHEMBL2431511";"";"None";"295.33";"0";"2.64";"21";"CCOC(=O)C1=C(Nc2ccc(C)c(F)c2)SCC1=O";"IC50";"'='";"536.0";"nM";"6.27";"";"";"UO_0000065";"21.23";"0.43";"3.63";"11.32";"0";"CHEMBL2434280";"Inhibition of Plasmodium falciparum DHODH (Phe158 to Ser569) expressed in Escherichia coli BL21 using dihydroorotate as substrate measured every 30 secs for 6 mins by DCIP dye-based assay";"B";"BAO_0000019";"assay format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL2429811";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"0.536"
"CHEMBL219856";"";"None";"277.32";"0";"2.42";"8";"CCOC(=O)C(=CNc1ccc(C)cc1)C(=O)OCC";"IC50";"'='";"40000.0";"nM";"4.40";"";"";"UO_0000065";"15.86";"0.30";"1.98";"6.80";"0";"CHEMBL911102";"Inhibition of recombinant Plasmodium falciparum DHODH";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL1139229";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"40.0"
"CHEMBL218703";"";"None";"333.39";"0";"4.20";"6";"CCOC(=O)/C(C#N)=C\Nc1ccc2c(c1)c1ccccc1n2CC";"IC50";"'='";"440.0";"nM";"6.36";"";"";"UO_0000065";"19.07";"0.35";"2.16";"9.48";"0";"CHEMBL911102";"Inhibition of recombinant Plasmodium falciparum DHODH";"B";"BAO_0000357";"single protein format";"Plasmodium falciparum";"None";"None";"None";"None";"";"";"";"CHEMBL3486";"Dihydroorotate dehydrogenase";"Plasmodium falciparum";"SINGLE PROTEIN";"CHEMBL1139229";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";"";"";"0.44"
